siteID,Latitude_degrees,Longitude_degrees,Soil_order,Soil_greatgroup,NLCD_class,forest_vs_non,Grazing_present,Prescribed_fire,horizonName,carbonTot_g_kg,nitrogenTot_g_kg,estimatedOC_g_kg,OC_N_ratio,carbon_after_HF_g_kg,Nitrogen_after_HF_g_kg,DithioniteFe_g_kg,OxalateFe_g_kg,Oxalate_Al_mg_g_ICP,Oxalate_Fe_mg_g_ICP,Ca_Na2SO4_mg_g,Mg_Na2SO4_mg_g,Ca_Na2SO4_umol_g,Mg_Na2SO4_umol_g,Ca_plus_Mg_umol_g,phCacl2,phH2o,Carbohydrate_fraction,Protein_fraction,Lignin_fraction,Lipid_fraction,Carbonyl_fraction,Char_fraction,Carbohydrate_mg_g,Protein_mg_g,Lignin_mg_g,Lipid_mg_g,Carbonyl_mg_g,Char_mg_g,Alkyl_fraction,N_Alkyl_Methoxyl_fraction,O_Alkyl_fraction,Di_O_Alkyl_fraction,Aromatic_fraction,Phenolic_fraction,Amide_Carboxyl_fraction,Alkyl_mg_g,N-Alkyl/Methoxyl_mg_g,O-Alkyl_mg_g,Di-O-Alkyl_mg_g,Aromatic_mg_g,Phenolic_mg_g,Amide_Carboxyl_mg_g,MAP_mm,MAT_C,Elevation_m,sandTotal_percent,siltTotal_percent,clayTotal_percent,Potential_Evapotranspiration_mm,Actual_Evapotranspiration_mm,MAP_minus_PET_mm,horizonTopDepth,horizonBottomDepth,soilSeries,soilFamily,bulkDensExclCoarseFrag,pitNamedLocation,dead_root_lessthan_4mm_approx_mg_cm3,live_root_lessthan_4mm_approx_mg_cm3,dead_total_roots_mg_cm3,live_total_roots_mg_cm3,wgt_dead_root_lessthan_4mm_CN_ratio_0_30cm,wgt_live_root_lessthan_4mm_CN_ratio_0_30cm,dead_root_lessthan_4mm_approx_g_m2_0_30cm,live_root_lessthan_4mm_approx_g_m2_0_30cm,dead_total_root_g_m2_0_30cm,live_total_root_g_m2_0_30cm,alMjelm_mg_kg,caMjelm_mg_kg,feMjelm_mg_kg,kMjelm_mg_kg,mgMjelm_mg_kg,mnMjelm_mg_kg,naMjelm_mg_kg,pMjelm_mg_kg,siMjelm_mg_kg,srMjelm_mg_kg,tiMjelm_mg_kg,zrMjelm_mg_kg,bacteria_and_archaea_meanCopyNumber_16S,fungi_meanCopyNumber_ITS,fung_bact_ratio,litter_carbonPercent,litter_nitrogenPercent,litter_CtoN,litter_ligninPercent,foliage_carbonPercent,foliage_nitrogenPercent,foliage_CtoN,foliage_ligninPercent,RC1,RC2,RC3
ABBY,45.76,-122.33,Inceptisols,Humudepts,Evergreen Forest,1,0,0,A,127.5,5.8,128,22.07,512.82,21.33,40.45,7.25,15,7.85,0.35,0.04,8.728179551,1.646090535,10.37427009,4.7,5.5,0.205,0.047,0.308,0.127,0.077,0.235,26.22,6.02,39.47,16.26,9.91,30.13,0.145,0.063,0.225,0.08,0.272,0.094,0.122,18.52,8,28.74,10.2,34.84,12.09,15.62,2450.59,10,363,26.8,35.8,37.4,1046,568,1404.59,3,19,Kinney,Fine-lomay - isotic - mesic - Andic Humudepts,0.39,MEGAPT102179,0.046,4.621,0.046,6.002,57.4,43.1,13.653,1386,14,1801,84713,5789,58092,3181,3098,1307,5215,748,170356,84,7283,80,76304,47,0.000653537,NA,NA,NA,NA,NA,NA,NA,NA,1.442215736,-0.540895572,0.32708674
BONA,65.15,-147.5,Gellisols,Histoturbels,Evergreen Forest,1,0,0,Bg/Oajj,49.2,1.9,49,25.79,215.17,7.89,19,13.47,1.61,13.93,0.63,0.13,15.71072319,5.349794239,21.06051743,4.3,5.1,0.201,0.075,0.16,0.427,0.038,0.099,9.86,3.67,7.82,20.94,1.87,4.83,0.366,0.059,0.228,0.06,0.141,0.047,0.098,17.93,2.91,11.19,2.93,6.93,2.3,4.82,262,-3,263,25.7,63,11.3,660,356,-398,22,38,Saulich,Coarse-silty - mixed - superactive - subgelic Typic Histoturbels,0.87,MEGAPT112075,0.089,1.965,0.089,2.418,30,34,26.763,590,27,725,45376,7751,34595,9525,7391,301,8491,516,220248,100,3982,49,NA,NA,NA,50.6623241,0.948546865,63.79475327,25.32519361,NA,NA,NA,NA,-0.241857874,0.425197551,-2.194970338
CLBJ,33.4,-97.57,Alfisols,Paleustalfs,Deciduous Forest,1,0,0,A,4.9,0.7,5,7.14,22.86,2.88,1.89,0.69,0.38,0.81,0.63,0.21,15.71072319,8.641975309,24.3526985,4.8,5.6,0.218,0.392,0.031,0.175,0.001,0.183,1.09,1.96,0.15,0.87,0.01,0.91,0.276,0.075,0.217,0.056,0.177,0.066,0.133,1.38,0.37,1.08,0.28,0.89,0.33,0.66,925.61,17.5,259,55.5,34.4,10.1,1701,632,-775.39,0,21,Windthorst,Fine - mixed - active - thermic Udic Paleustalfs,1.59,MEGAPT100966,0.03,1.51,0.174,2.856,46.8,45,9.067,453,52,857,22077,831,5941,8871,1672,98,2100,47,412640,32,2448,166,37622,35,0.000956184,47.974,1.061,46.597,20.479,41.50285714,1.287142857,34.11399595,7.08,-2.609167499,0.085087555,0.22421194
CPER,40.81,-104.74,Mollisols,Argiustolls,Grassland/Herbaceous,0,1,1,A,8.4,1,8,8,233.72,19.75,4.73,0.22,0.34,0.23,2.09,0.18,52.11970075,7.407407407,59.52710816,7.3,7.8,0.217,0.263,0.192,0.147,0.043,0.137,1.74,2.11,1.54,1.18,0.34,1.09,0.225,0.097,0.231,0.056,0.187,0.063,0.142,1.8,0.77,1.85,0.45,1.49,0.5,1.13,344.24,8.6,1648,71.5,16.6,11.9,1838,236,-1493.76,0,10,Ascalon,Fine-loamy - mixed - superactive - mesic Aridic Argiustolls,1.54,MEGAPT100967,0,1.138,0,1.138,NA,31.3,0,341,0,341,41027,5279,13362,22165,2597,430,6223,458,347470,150,2333,95,24439,23,0.000930956,NA,NA,NA,NA,NA,NA,NA,NA,-0.567858672,0.370258398,0.325579728
DCFS,47.16,-99.11,Mollisols,Haplustolls,Grassland/Herbaceous,0,1,0,A1,70.9,5.9,70,11.86,399.6,32.36,5.81,1.31,1.08,1.55,5.03,0.85,125.436409,34.97942387,160.4158328,6.3,7,0.249,0.252,0.189,0.105,0.062,0.143,17.44,17.67,13.2,7.35,4.36,9.98,0.189,0.091,0.252,0.064,0.187,0.063,0.155,13.2,6.36,17.66,4.47,13.08,4.38,10.85,489.74,4.9,559,29.3,38.4,32.3,1187,494,-697.26,0,8,Max,Fine-loamy - mixed - superactive - frigid Typic Haplustolls,0.74,MEGAPT100968,0,1.667,0,1.775,NA,44.7,0,500,0,533,49597,10920,23372,14974,5970,940,7798,846,270561,129,2755,104,66773,36,0.000581378,NA,NA,NA,NA,44.60775,1.42725,32.15673885,4.876,-0.1837461,0.539458332,0.88562911
DSNY,28.13,-81.43,Spodosols,Alaquods,Grassland/Herbaceous,0,0,1,Ap,22.9,1.4,22,15.71,204.48,9.61,0.12,0.08,0.77,0.07,0.61,0.05,15.21197007,2.057613169,17.26958324,4.9,5.9,0.214,0.146,0.203,0.136,0.086,0.214,4.72,3.22,4.47,2.99,1.89,4.7,0.176,0.069,0.226,0.062,0.234,0.078,0.155,3.87,1.52,4.97,1.36,5.15,1.72,3.4,1216.09,22.5,15,94,5.3,0.7,1643,727,-426.91,0,9,Smyrna,Sandy - siliceous - hyperthermic Aeric Alaquods,1.23,MEGAPT100970,0,1.315,0,1.315,NA,52.6,0,394,0,394,4057,760,1248,199,217,17,26,181,398003,0,2937,43,28173,67,0.001928333,NA,NA,NA,NA,46.87045455,0.958636364,51.53324343,10.37909091,0.691733921,-0.482947104,0.64924328
GRSM,35.69,-83.5,Inceptisols,Humudepts,Mixed Forest,1,0,0,A1,19,1.3,19,14.62,427.89,22.23,11.34,3.38,5.13,3.97,0.48,0.07,11.97007481,2.880658436,14.85073325,4.7,5.2,0.215,0.162,0.197,0.214,0.063,0.149,4.08,3.08,3.75,4.06,1.2,2.83,0.24,0.073,0.231,0.061,0.189,0.067,0.138,4.56,1.38,4.39,1.16,3.59,1.28,2.63,1375.31,13.1,579,53.1,29.9,17,1368,787,7.31,0,21,Spivey,Loamy-skeletal - isotic - mesic Typic Humudepts,0.73,MEGAPT100971,1.848,3.327,3.199,11.235,39.6,41.1,554.32,998,960,3370,66549,417,28349,20395,3789,483,8244,521,315894,60,4709,152,20753,33,0.001021982,NA,NA,NA,NA,NA,NA,NA,NA,0.157986616,0.130920091,-0.173641256
GUAN,17.97,-66.87,Aridosols,Haplocalcids,Evergreen Forest,1,0,0,A,129.2,5.8,55,9.48,192.98,18.01,2.81,0.44,1.15,0.49,11.03,0.61,275.0623441,25.10288066,300.1652248,7.6,7.9,0.167,0.291,0.186,0.169,0.074,0.114,9.16,16,10.21,9.29,4.04,6.28,0.25,0.098,0.189,0.05,0.171,0.061,0.18,13.77,5.4,10.42,2.77,9.38,3.36,9.9,840,23,143,7.7,57.4,34.9,2020,1589,-1180,0,30,Altamira,Coarse-loamy - carbonatic - isohyperthermic Typic Haplocalcids,0.94,MEGAPT100972,0.09,2.588,0.306,5.155,48.5,32.8,27.073,776,92,1546,26009,237292,15917,3859,6370,114,729,420,79479,257,1371,19,32263,5,0.000289308,45.238,1.231,39.073,21.405,NA,NA,NA,NA,-0.183419879,-0.167365221,0.347154693
HARV,42.54,-72.18,Inceptisols,Dystrudepts,Deciduous Forest,1,0,0,A,96.7,7.1,96,13.52,352.44,19.99,9.91,5.42,4.33,5.99,0.12,0.05,2.992518703,2.057613169,5.050131872,3.8,4.6,0.237,0.177,0.157,0.26,0.059,0.111,22.71,16.97,15.07,24.98,5.64,10.62,0.276,0.072,0.247,0.062,0.152,0.053,0.137,26.48,6.94,23.76,5.95,14.61,5.08,13.19,1199.61,7.4,351,58.8,29.5,11.7,1119,679,80.61,4,9,Henniker - taxadjunct,Coarse-loamy over sandy or sandy-skeletal - mixed - semiactive - frigid Oxyaquic Dystrudepts,0.48,MEGAPT100973,0,3.734,0,4.08,NA,42.6,0,1120,0,1224,54355,8518,23199,13648,3853,585,12422,1540,264102,194,4717,64,63763,124,0.003684314,51.53239705,0.775210791,71.01796931,26.80749585,NA,NA,NA,NA,-0.190638106,0.603355734,-0.461324552
HEAL,63.88,-149.22,Gellisols,Histoturbels,Dwarf Scrub,0,0,0,A/Cjj,95.6,3.7,96,25.95,359.53,12.67,9.26,8.42,1.83,8.98,0.7,0.22,17.4563591,9.053497942,26.50985704,4,5,0.207,0.05,0.21,0.419,0.037,0.078,19.85,4.78,20.15,40.19,3.52,7.51,0.356,0.06,0.237,0.066,0.139,0.053,0.09,34.15,5.74,22.72,6.29,13.38,5.04,8.68,385.3,-1.3,705,35.1,51.5,13.4,612,378,-226.7,31,50,No series matches description,Coarse-silty - mixed - superactive - subgelic Typic Histoturbels,1.4,MEGAPT100974,0.057,12.639,0.759,14.07,88.5,57.8,17.15,3792,228,4221,61475,7386,26790,14707,6091,254,9231,249,236770,117,4611,88,102032,56,0.00061275,NA,NA,NA,NA,NA,NA,NA,NA,0.090290256,0.714857075,-2.25754531
