chemical_shift_ppm,site,signal_intensity
-206.292,DSNY,6.43E-07
-205.693,DSNY,9.82E-08
-205.094,DSNY,2.32E-07
-204.495,DSNY,9.72E-08
-203.896,DSNY,5.16E-07
-203.296,DSNY,3.02E-07
-202.697,DSNY,6.23E-07
-202.098,DSNY,1.84E-07
-201.499,DSNY,4.67E-07
-200.9,DSNY,2.23E-07
-200.301,DSNY,4.34E-07
-199.702,DSNY,0.0103264
-199.103,DSNY,0.061096
-198.504,DSNY,0.130655
-197.905,DSNY,0.183883
-197.306,DSNY,0.21189
-196.707,DSNY,0.210659
-196.107,DSNY,0.218417
-195.508,DSNY,0.231258
-194.909,DSNY,0.204406
-194.31,DSNY,0.164738
-193.711,DSNY,0.194892
-193.112,DSNY,0.262673
-192.513,DSNY,0.339524
-191.914,DSNY,0.352337
-191.315,DSNY,0.324896
-190.716,DSNY,0.296278
-190.117,DSNY,0.340417
-189.518,DSNY,0.179025
-188.919,DSNY,-0.932196
-188.319,DSNY,-1.44799
-187.72,DSNY,-0.295815
-187.121,DSNY,0.484548
-186.522,DSNY,0.696046
-185.923,DSNY,0.486558
-185.324,DSNY,0.358755
-184.725,DSNY,0.534304
-184.126,DSNY,0.19108
-183.527,DSNY,-0.775282
-182.928,DSNY,-0.736667
-182.329,DSNY,0.33976
-181.73,DSNY,0.850592
-181.13,DSNY,0.967903
-180.531,DSNY,0.957011
-179.932,DSNY,0.890506
-179.333,DSNY,0.810014
-178.734,DSNY,0.660137
-178.135,DSNY,0.674854
-177.536,DSNY,0.791313
-176.937,DSNY,0.620908
-176.338,DSNY,0.488519
-175.739,DSNY,0.361761
-175.14,DSNY,0.227397
-174.541,DSNY,0.370208
-173.942,DSNY,0.428836
-173.342,DSNY,0.435258
-172.743,DSNY,0.319925
-172.144,DSNY,0.275668
-171.545,DSNY,0.23317
-170.946,DSNY,0.0961555
-170.347,DSNY,0.00582997
-169.748,DSNY,-0.0159922
-169.149,DSNY,0.0573467
-168.55,DSNY,0.132389
-167.951,DSNY,0.157269
-167.352,DSNY,0.175476
-166.753,DSNY,0.126494
-166.153,DSNY,0.0818959
-165.554,DSNY,0.0772378
-164.955,DSNY,-0.0230753
-164.356,DSNY,0.058436
-163.757,DSNY,0.278568
-163.158,DSNY,0.475633
-162.559,DSNY,0.523849
-161.96,DSNY,0.628048
-161.361,DSNY,0.796921
-160.762,DSNY,0.87196
-160.163,DSNY,0.821671
-159.564,DSNY,0.709855
-158.965,DSNY,0.671004
-158.365,DSNY,0.737657
-157.766,DSNY,0.774475
-157.167,DSNY,0.831678
-156.568,DSNY,0.863164
-155.969,DSNY,0.861054
-155.37,DSNY,0.879898
-154.771,DSNY,0.790652
-154.172,DSNY,0.678596
-153.573,DSNY,0.585726
-152.974,DSNY,0.509362
-152.375,DSNY,0.555724
-151.776,DSNY,0.553924
-151.176,DSNY,0.526918
-150.577,DSNY,0.546796
-149.978,DSNY,0.474349
-149.379,DSNY,0.469685
-148.78,DSNY,0.410129
-148.181,DSNY,0.263076
-147.582,DSNY,0.259228
-146.983,DSNY,0.307662
-146.384,DSNY,0.368367
-145.785,DSNY,0.369733
-145.186,DSNY,0.328124
-144.587,DSNY,0.248528
-143.988,DSNY,0.141272
-143.388,DSNY,0.0868429
-142.789,DSNY,0.00994744
-142.19,DSNY,-0.0314357
-141.591,DSNY,0.0659363
-140.992,DSNY,0.260386
-140.393,DSNY,0.489132
-139.794,DSNY,0.558364
-139.195,DSNY,0.318816
-138.596,DSNY,0.132042
-137.997,DSNY,-0.00441487
-137.398,DSNY,0.0240426
-136.799,DSNY,0.380923
-136.199,DSNY,1.00055
-135.6,DSNY,1.3368
-135.001,DSNY,0.992499
-134.402,DSNY,0.868658
-133.803,DSNY,0.771801
-133.204,DSNY,0.375674
-132.605,DSNY,0.380917
-132.006,DSNY,0.761253
-131.407,DSNY,0.934337
-130.808,DSNY,0.705036
-130.209,DSNY,0.51329
-129.61,DSNY,0.404179
-129.011,DSNY,0.522294
-128.411,DSNY,0.665786
-127.812,DSNY,0.630758
-127.213,DSNY,0.560173
-126.614,DSNY,0.59499
-126.015,DSNY,0.647747
-125.416,DSNY,0.583364
-124.817,DSNY,0.515004
-124.218,DSNY,0.478588
-123.619,DSNY,0.466923
-123.02,DSNY,0.604427
-122.421,DSNY,0.717473
-121.822,DSNY,0.661964
-121.222,DSNY,0.670158
-120.623,DSNY,0.697554
-120.024,DSNY,0.685033
-119.425,DSNY,0.611248
-118.826,DSNY,0.552578
-118.227,DSNY,0.377678
-117.628,DSNY,0.312578
-117.029,DSNY,0.81196
-116.43,DSNY,1.49705
-115.831,DSNY,1.47087
-115.232,DSNY,1.01499
-114.633,DSNY,0.568422
-114.034,DSNY,0.166728
-113.434,DSNY,0.11494
-112.835,DSNY,0.122087
-112.236,DSNY,0.0123656
-111.637,DSNY,0.0718638
-111.038,DSNY,0.160341
-110.439,DSNY,0.142831
-109.84,DSNY,0.103076
-109.241,DSNY,0.125797
-108.642,DSNY,0.136168
-108.043,DSNY,0.0814223
-107.444,DSNY,0.0316443
-106.845,DSNY,-0.00560375
-106.245,DSNY,-0.0328466
-105.646,DSNY,-0.0260064
-105.047,DSNY,-0.00486537
-104.448,DSNY,0.0314737
-103.849,DSNY,0.0669794
-103.25,DSNY,0.113216
-102.651,DSNY,0.119843
-102.052,DSNY,0.118174
-101.453,DSNY,0.127303
-100.854,DSNY,0.117882
-100.255,DSNY,0.178352
-99.6556,DSNY,0.253959
-99.0565,DSNY,0.279476
-98.4574,DSNY,0.306877
-97.8583,DSNY,0.34073
-97.2593,DSNY,0.4364
-96.6602,DSNY,0.482439
-96.0611,DSNY,0.508074
-95.462,DSNY,0.544889
-94.8629,DSNY,0.588504
-94.2639,DSNY,0.757774
-93.6648,DSNY,0.896218
-93.0657,DSNY,0.981464
-92.4666,DSNY,1.05753
-91.8675,DSNY,1.047
-91.2685,DSNY,1.03571
-90.6694,DSNY,1.02576
-90.0703,DSNY,1.04156
-89.4712,DSNY,0.931448
-88.8721,DSNY,0.958014
-88.2731,DSNY,1.30388
-87.674,DSNY,1.37004
-87.0749,DSNY,1.12383
-86.4758,DSNY,1.03518
-85.8767,DSNY,0.996999
-85.2777,DSNY,0.928873
-84.6786,DSNY,0.979444
-84.0795,DSNY,1.02131
-83.4804,DSNY,0.969337
-82.8813,DSNY,0.973675
-82.2823,DSNY,1.1366
-81.6832,DSNY,1.28439
-81.0841,DSNY,1.40046
-80.485,DSNY,1.37297
-79.8859,DSNY,1.50365
-79.2869,DSNY,1.82745
-78.6878,DSNY,2.1313
-78.0887,DSNY,2.17777
-77.4896,DSNY,2.11044
-76.8905,DSNY,2.0347
-76.2915,DSNY,1.90151
-75.6924,DSNY,1.70506
-75.0933,DSNY,1.1819
-74.4942,DSNY,0.592354
-73.8951,DSNY,0.270873
-73.2961,DSNY,0.260555
-72.697,DSNY,0.103438
-72.0979,DSNY,-0.191669
-71.4988,DSNY,-0.465787
-70.8997,DSNY,-0.639962
-70.3007,DSNY,-0.444344
-69.7016,DSNY,-0.237835
-69.1025,DSNY,-0.108272
-68.5034,DSNY,-0.0192374
-67.9043,DSNY,0.200209
-67.3053,DSNY,0.38569
-66.7062,DSNY,0.494258
-66.1071,DSNY,0.637159
-65.508,DSNY,0.809701
-64.9089,DSNY,0.952985
-64.3099,DSNY,1.00259
-63.7108,DSNY,0.834555
-63.1117,DSNY,0.743306
-62.5126,DSNY,0.785941
-61.9135,DSNY,0.886643
-61.3145,DSNY,1.07819
-60.7154,DSNY,1.22305
-60.1163,DSNY,1.23254
-59.5172,DSNY,1.09852
-58.9181,DSNY,0.887996
-58.3191,DSNY,0.755722
-57.72,DSNY,0.936427
-57.1209,DSNY,1.33552
-56.5218,DSNY,1.92966
-55.9227,DSNY,2.5484
-55.3237,DSNY,2.69489
-54.7246,DSNY,2.72295
-54.1255,DSNY,2.47796
-53.5264,DSNY,2.11502
-52.9273,DSNY,1.74903
-52.3283,DSNY,1.1578
-51.7292,DSNY,0.855355
-51.1301,DSNY,-0.27657
-50.531,DSNY,0.728534
-49.9319,DSNY,3.04885
-49.3329,DSNY,3.0196
-48.7338,DSNY,3.0671
-48.1347,DSNY,2.81568
-47.5356,DSNY,2.70498
-46.9365,DSNY,2.695
-46.3375,DSNY,2.56883
-45.7384,DSNY,2.51242
-45.1393,DSNY,2.67471
-44.5402,DSNY,2.75629
-43.9411,DSNY,2.80857
-43.3421,DSNY,2.86721
-42.743,DSNY,2.83132
-42.1439,DSNY,2.75903
-41.5448,DSNY,2.74492
-40.9457,DSNY,2.71874
-40.3467,DSNY,2.70482
-39.7476,DSNY,2.71702
-39.1485,DSNY,2.77559
-38.5494,DSNY,2.83035
-37.9503,DSNY,2.81476
-37.3513,DSNY,2.82251
-36.7522,DSNY,2.80275
-36.1531,DSNY,2.84788
-35.554,DSNY,2.89689
-34.9549,DSNY,2.80892
-34.3559,DSNY,2.76796
-33.7568,DSNY,2.75165
-33.1577,DSNY,2.72087
